student_id,name,course,score
1,Prissie Temlett,Data Warehousing,22
2,Jamil Cowlishaw,HDV,20
3,Parke Bernakiewicz,CGI/Perl,98
4,Carita Dishmon,NMLS,72
5,Giovanni Paulus,LRO,54
6,Robinet Pfertner,Pneumatics,92
7,Harry Chiplin,Axis2,05
8,Anissa Stolz,GIMP,76
9,Sherri Levin,Onboarding,14
10,Vallie Gulleford,Screening Resumes,44
11,Beth Crat,DMPK,91
12,Byran Mattin,PK/PD,61
13,Mabel Dubois,VGA,75
14,Linnea Grollmann,Sports Play-by-play,33
15,Carlie Gorst,Electric Power,01
16,Trudie Odhams,TMX,55
17,Hubey Simonson,HCS12,12
18,Cristie Kelloway,ZeroMQ,04
19,Felizio Marskell,Image Processing,59
20,York Tchir,Cross-functional Team Leadership,95
21,Maggee O'Caherny,DC-10,37
22,Drew Geeritz,Xactimate,13
23,Cornelius Kimblin,Entity Framework,70
24,Sidnee Vasyanin,TCA,34
25,Monte MacKim,CCIE,90
26,Aeriel MacFadyen,Government Procurement,41
27,Catha MacCardle,Brocade Fibre Switches,12
28,Vincenz Pruce,EPANET,56
29,Georgi Bonnesen,Process Automation,54
30,Margo Crabb,LDRA,85
31,Wilow Poat,ArcGIS,34
32,Carolynn Ticehurst,MVC Architecture,32
33,Cammi Loges,Waste,56
34,Harrison Rainsden,FPGA prototyping,11
35,Blanche Wem,KPI Implementation,67
36,Gerard Hawarden,HSM,83
37,Sydney Chippin,Military,95
38,Hermy Kettow,Genetics,26
39,Robinetta Anneslie,Land Use,81
40,Gabrielle Libero,FSL,20
41,Faith Gouldthorp,KVM,24
42,Kingsly Avent,DDI Certified Facilitator,62
43,Lindsay Chalkly,Berkeley DB,49
44,Luther Aronson,Pyramid,13
45,Beatrice Winsper,MD-11,21
46,Annis Larderot,RSA Security,33
47,Georgianne Bourges,MBCI,61
48,Boris Strangeway,Wholesale Operations,19
49,Burgess Duley,Curriculum Development,10
50,Elinore Sinkin,XPlanner,89
51,Lora Kiossel,Typeface Design,57
52,Peadar O'Doghesty,Materials Science,45
53,Tristan Dugald,TPX,53
54,Barth Madge,WSE,20
55,Patricio Wallbank,Social Media Marketing,74
56,Joeann Linley,Security,23
57,Irvin Boldt,DTA,16
58,Ulrica Raigatt,SNL,16
59,Correna Bidder,MMSC,19
60,Marvin Otter,HCV,15
61,Tara Wiggington,Web Typography,31
62,Brandice Moses,Adobe Acrobat,32
63,Wang Bodd,Recruitment Advertising,56
64,Fredek Strangwood,Oracle VM,30
65,Petronilla Altham,HDS,96
66,Kirsteni Rosenstock,Rx,47
67,Serene Neath,NMON,93
68,Lolly Lefridge,Lyris,18
69,Chaim Delcastel,Sports Management,47
70,Brina Dimnage,WSS 2.0,74
71,Renato Goodhall,DFMEA,02
72,Nicko Harbisher,Childcare,21
73,Silvan Skinley,IOS-XR,65
74,Afton Pierpoint,Qualitative Research,33
75,Carmelle Cammock,D3.js,31
76,Breena Giraudat,Microsoft MVP,88
77,Valentin Delacourt,Clinical Supervision,49
78,Rosana Reville,Military Aviation,80
79,Kellby Frake,Knowledge Transfer,19
80,Andrei Reneke,Accounting,63
81,Lexis Piborn,GCIH,74
82,Rubin Tabor,XAML,28
83,Jemie O'Regan,Ruby on Rails,46
84,Janet Biggen,WLI,46
85,Edvard Darragon,Awesomeness,64
86,Lynnea Suddell,Twitter Marketing,41
87,Jakie O' Donohue,VGA,59
88,Rhiamon Aries,SDA,90
89,Marice Ranking,Supply Chain Optimization,44
90,Koral Yate,MC2,37
91,Ado Roderigo,IBM AS/400,45
92,Sargent Laker,NCIE,05
93,Livvie Clewlow,Aircraft Systems,74
94,Nikolaus Causer,Fitness,53
95,Jecho McCromley,Bankruptcy,36
96,Ardella Chawkley,JVC,06
97,Arabel Vicar,NDC,62
98,Yetta Haime,Nokia Qt,30
99,Jen Woolvin,Invoicing,44
100,Noell Galletley,Music Education,22
